student_id,score
1,51
2,92
3,14
4,71
5,60
6,20
7,82
8,86
9,74
10,74
11,87
12,99
13,23
14,2
15,21
16,52
17,1
18,87
19,29
20,37
21,1
22,63
23,59
24,20
25,32
26,75
27,57
28,21
29,88
30,48
31,90
32,58
33,41
34,91
35,59
36,79
37,14
38,61
39,61
40,46
41,61
42,50
43,54
44,63
45,2
46,100
47,50
48,6
49,20
50,72
51,38
52,17
53,3
54,88
55,59
56,13
57,8
58,89
59,52
60,1
61,83
62,91
63,59
64,70
65,43
66,7
67,46
68,34
69,77
70,80
71,35
72,49
73,3
74,1
75,5
76,53
77,3
78,53
79,92
80,62
81,17
82,89
83,43
84,33
85,73
86,61
87,99
88,13
89,94
90,47
91,14
92,71
93,77
94,86
95,61
96,39
97,84
98,79
99,81
100,52
101,23
102,25
103,88
104,59
105,40
106,28
107,14
108,44
109,64
110,88
111,70
112,8
113,87
114,0
115,7
116,87
117,62
118,10
119,80
120,7
121,34
122,34
123,32
124,4
125,40
126,27
127,6
128,72
129,71
130,11
131,33
132,32
133,47
134,22
135,61
136,87
137,36
138,98
139,43
140,85
141,90
142,34
143,64
144,98
145,100
146,46
147,77
148,2
149,0
150,4
151,89
152,13
153,26
154,8
155,78
156,14
157,89
158,41
159,76
160,50
161,62
162,95
163,51
164,95
165,3
166,93
167,100
168,22
169,14
170,42
171,28
172,35
173,12
174,31
175,70
176,58
177,85
178,27
179,65
180,41
181,44
182,61
183,56
184,5
185,27
186,27
187,43
188,83
189,29
190,61
191,74
192,91
193,88
194,61
195,96
196,0
197,26
198,61
199,76
200,2
201,69
202,71
203,26
204,8
205,61
206,36
207,96
208,50
209,43
210,23
211,78
212,58
213,31
214,95
215,87
216,51
217,61
218,57
219,51
220,11
221,38
222,1
223,2
224,100
225,55
226,80
227,58
228,1
229,1
230,91
231,53
232,86
233,100
234,95
235,96
236,0
237,18
238,1
239,52
240,43
241,89
242,31
243,69
244,31
245,67
246,54
247,74
248,55
249,16
250,37
251,23
252,68
253,97
254,69
255,85
256,10
257,15
258,96
259,72
260,58
261,69
262,79
263,92
264,2
265,19
266,58
267,35
268,18
269,89
270,66
271,18
272,19
273,95
274,70
275,51
276,32
277,39
278,38
279,81
280,0
281,10
282,91
283,56
284,88
285,49
286,22
287,30
288,93
289,41
290,98
291,6
292,15
293,89
294,59
295,1
296,0
297,47
298,11
299,68
300,36
301,31
302,8
303,98
304,18
305,47
306,79
307,2
308,19
309,23
310,53
311,32
312,23
313,74
314,71
315,35
316,37
317,83
318,98
319,88
320,98
321,24
322,92
323,17
324,81
325,65
326,53
327,34
328,79
329,60
330,40
331,99
332,32
333,67
334,32
335,13
336,20
337,47
338,19
339,7
340,6
341,66
342,16
343,32
344,47
345,75
346,58
347,85
348,21
349,29
350,37
351,50
352,53
353,7
354,26
355,26
356,97
357,20
358,29
359,96
360,27
361,63
362,96
363,68
364,60
365,47
366,18
367,3
368,34
369,63
370,48
371,16
372,43
373,91
374,29
375,92
376,45
377,5
378,98
379,36
380,23
381,92
382,45
383,52
384,94
385,98
386,59
387,96
388,62
389,84
390,31
391,86
392,32
393,66
394,17
395,24
396,94
397,53
398,57
399,66
400,45
401,23
402,31
403,46
404,85
405,22
406,65
407,26
408,1
409,89
410,16
411,32
412,8
413,42
414,47
415,38
416,92
417,41
418,25
419,98
420,49
421,24
422,23
423,12
424,59
425,6
426,56
427,35
428,44
429,19
430,64
431,7
432,15
433,13
434,75
435,86
436,14
437,91
438,97
439,65
440,31
441,86
442,62
443,85
444,50
445,24
446,57
447,62
448,61
449,21
450,57
451,57
452,85
453,48
454,51
455,41
456,69
457,14
458,53
459,59
460,100
461,96
462,7
463,52
464,59
465,4
466,67
467,5
468,95
469,93
470,46
471,98
472,54
473,39
474,51
475,15
476,12
477,29
478,18
479,16
480,62
481,18
482,91
483,57
484,54
485,89
486,100
487,89
488,61
489,22
490,8
491,11
492,0
493,57
494,0
495,33
496,95
497,47
498,88
499,0
500,15
501,60
502,63
503,62
504,68
505,21
506,92
507,66
508,75
509,25
510,15
511,50
512,100
513,85
514,56
515,28
516,77
517,91
518,68
519,46
520,93
521,61
522,68
523,75
524,15
525,89
526,89
527,47
528,84
529,38
530,99
531,32
532,93
533,100
534,22
535,9
536,68
537,99
538,33
539,51
540,94
541,9
542,18
543,57
544,95
545,0
546,68
547,3
548,15
549,23
550,79
551,1
552,91
553,31
554,90
555,83
556,23
557,11
558,49
559,34
560,32
561,32
562,60
563,50
564,42
565,100
566,11
567,66
568,64
569,32
570,39
571,73
572,42
573,43
574,28
575,12
576,11
577,94
578,45
579,1
580,34
581,86
582,80
583,89
584,7
585,92
586,25
587,73
588,89
589,33
590,6
591,67
592,57
593,74
594,28
595,35
596,88
597,20
598,35
599,9
600,100
601,72
602,23
603,63
604,98
605,48
606,98
607,35
608,81
609,95
610,23
611,22
612,61
613,95
614,36
615,11
616,54
617,12
618,22
619,88
620,98
621,29
622,16
623,61
624,83
625,88
626,85
627,12
628,58
629,18
630,48
631,99
632,11
633,60
634,18
635,75
636,8
637,70
638,27
639,77
640,94
641,51
642,82
643,15
644,68
645,98
646,11
647,24
648,51
649,84
650,99
651,52
652,22
653,15
654,56
655,38
656,52
657,41
658,57
659,38
660,13
661,94
662,4
663,34
664,86
665,92
666,74
667,17
668,75
669,8
670,73
671,57
672,16
673,6
674,45
675,12
676,39
677,41
678,8
679,49
680,26
681,65
682,4
683,28
684,36
685,37
686,82
687,7
688,64
689,85
690,16
691,70
692,88
693,44
694,3
695,35
696,69
697,30
698,18
699,60
700,53
701,38
702,90
703,73
704,89
705,18
706,38
707,66
708,44
709,12
710,91
711,57
712,19
713,91
714,71
715,60
716,38
717,0
718,2
719,76
720,91
721,61
722,62
723,24
724,55
725,32
726,37
727,5
728,57
729,43
730,44
731,31
732,44
733,60
734,46
735,20
736,79
737,84
738,74
739,100
740,35
741,98
742,18
743,19
744,56
745,17
746,46
747,48
748,13
749,14
750,30
751,0
752,53
753,2
754,15
755,86
756,56
757,74
758,11
759,73
760,95
761,15
762,71
763,75
764,23
765,27
766,7
767,91
768,35
769,89
770,7
771,57
772,59
773,49
774,27
775,91
776,100
777,40
778,99
779,63
780,26
781,62
782,16
783,72
784,32
785,83
786,76
787,91
788,28
789,12
790,45
791,34
792,5
793,81
794,68
795,46
796,24
797,65
798,9
799,55
800,29
801,4
802,32
803,64
804,17
805,95
806,48
807,10
808,84
809,25
810,62
811,88
812,85
813,58
814,26
815,48
816,76
817,32
818,97
819,98
820,0
821,20
822,54
823,5
824,91
825,80
826,68
827,94
828,4
829,2
830,52
831,22
832,100
833,52
834,36
835,73
836,73
837,82
838,16
839,84
840,77
841,72
842,0
843,50
844,44
845,76
846,3
847,61
848,64
849,31
850,33
851,91
852,94
853,71
854,38
855,25
856,33
857,53
858,2
859,49
860,11
861,64
862,53
863,4
864,93
865,93
866,56
867,16
868,46
869,22
870,78
871,100
872,84
873,13
874,65
875,74
876,50
877,37
878,63
879,97
880,37
881,49
882,97
883,81
884,29
885,78
886,90
887,50
888,62
889,97
890,51
891,37
892,96
893,87
894,78
895,29
896,50
897,80
898,4
899,28
900,3
901,9
902,55
903,16
904,73
905,16
906,83
907,87
908,68
909,33
910,5
911,52
912,65
913,76
914,42
915,74
916,22
917,54
918,79
919,94
920,74
921,15
922,7
923,3
924,3
925,55
926,24
927,66
928,95
929,66
930,26
931,92
932,31
933,49
934,60
935,50
936,18
937,20
938,4
939,81
940,91
941,41
942,60
943,21
944,20
945,69
946,0
947,4
948,11
949,89
950,45
951,33
952,48
953,77
954,89
955,44
956,26
957,72
958,25
959,46
960,85
961,55
962,93
963,62
964,47
965,60
966,80
967,25
